timestamp, name, memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%]
2026/09/24 09:24:12.073, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 93 %
2026/09/24 09:24:13.073, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 94 %
2026/09/24 09:24:14.073, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 93 %
2026/09/24 09:24:15.074, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 94 %
2026/09/24 09:24:16.074, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 94 %
2026/09/24 09:24:17.074, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 93 %
2026/09/24 09:24:18.075, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 94 %
2026/09/24 09:24:19.075, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 93 %
2026/09/24 09:24:20.075, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 95 %
2026/09/24 09:24:21.076, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 94 %
2026/09/24 09:24:22.076, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 93 %
2026/09/24 09:24:23.076, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 92 %
2026/09/24 09:24:24.076, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 93 %
2026/09/24 09:24:25.077, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 93 %
2026/09/24 09:24:26.077, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 93 %
2026/09/24 09:24:27.077, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 93 %
2026/09/24 09:24:28.078, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 94 %
2026/09/24 09:24:29.078, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 94 %
2026/09/24 09:24:30.078, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 94 %
2026/09/24 09:24:31.078, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 93 %
2026/09/24 09:24:32.079, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 93 %
2026/09/24 09:24:33.079, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 94 %
2026/09/24 09:24:34.079, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 94 %
2026/09/24 09:24:35.080, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 94 %
2026/09/24 09:24:36.080, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 94 %
2026/09/24 09:24:37.080, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 94 %
2026/09/24 09:24:38.080, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 92 %
2026/09/24 09:24:39.081, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 93 %
2026/09/24 09:24:40.081, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 33 %
2026/09/24 09:24:41.081, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 93 %
2026/09/24 09:24:42.082, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 93 %
2026/09/24 09:24:43.082, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 93 %
2026/09/24 09:24:44.082, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 93 %
2026/09/24 09:24:45.082, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 93 %
2026/09/24 09:24:46.083, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 93 %
2026/09/24 09:24:47.083, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 94 %
2026/09/24 09:24:48.083, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 93 %
2026/09/24 09:24:49.083, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 94 %
2026/09/24 09:24:50.084, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 94 %
2026/09/24 09:24:51.084, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 94 %
2026/09/24 09:24:52.084, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 93 %
2026/09/24 09:24:53.085, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 94 %
2026/09/24 09:24:54.085, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 94 %
